executor,action,table,time
1,edit,notes,2022-06-06 19:15:51.962093
4,delete,patients,2022-06-06 19:17:13.965079
1,delete,patients,2022-06-06 19:34:56.602341
4,add,patients,
4,delete,patients,
4,delete,patients,
4,delete,patients,
4,edit,patients,
4,add,notes,
4,add,notes,
4,add,notes,
4,add,notes,
4,add,notes,
4,add,notes,
4,add,notes,
